89,11/1/2013,YPtQ_rVSfSI,Learn How To Pick A Lock… With A Can Of Soda,https://www.youtube.com/watch?v=YPtQ_rVSfSI
88,10/26/2013,KlAl5RHAAns,7 Amazingly Useful Party Tricks You Can Do With Liquid Nitrogen,https://www.youtube.com/watch?v=KlAl5RHAAns
87,10/23/2013,SnKk2wVDLf8,Make The Face Of A Halloween Pumpkin Explode With This Neat Hack,https://www.youtube.com/watch?v=SnKk2wVDLf8
86,10/18/2013,sXb8rJ8Rm3I,Help Your Plants Grow with this Surprising Hack!,https://www.youtube.com/watch?v=sXb8rJ8Rm3I
85,10/1/2013,hYyWgPXfx9U,6 Tips to Make Your Accounts Impossible to Hack!,https://www.youtube.com/watch?v=hYyWgPXfx9U
84,9/30/2013,epsr4c_oZoM,Make Carbonated Ice Cream Easily at Home!,https://www.youtube.com/watch?v=epsr4c_oZoM
83,9/30/2013,HudJ0EPfXVk,An Explosive Baked Potato? Homemade Explosives!,https://www.youtube.com/watch?v=HudJ0EPfXVk
82,9/27/2013,HCyHC7lnMyQ,5 Incredible Ways to Start a Fire...with Water!,https://www.youtube.com/watch?v=HCyHC7lnMyQ
81,9/14/2013,9yRCDU-80IQ,Make a Super Stealthy Safe to Hide your Valuable!,https://www.youtube.com/watch?v=9yRCDU-80IQ
80,9/10/2013,frBhtBINgbE,Make Breakfast Using The Sun!,https://www.youtube.com/watch?v=frBhtBINgbE
79,9/5/2013,4_c4HjVGk3I,The Amazing Way to Make Soap Out Of Bacon!,https://www.youtube.com/watch?v=4_c4HjVGk3I
78,8/31/2013,A9kgu-uZkjA,Nostril Floss,https://www.youtube.com/watch?v=A9kgu-uZkjA
77,8/22/2013,ygyD9jQxQ7Y,5 Amazing Tricks Using Dry Ice!,https://www.youtube.com/watch?v=ygyD9jQxQ7Y
76,8/17/2013,i05IANQsk_Y,Win Money from Your Friends with This Party Trick!,https://www.youtube.com/watch?v=i05IANQsk_Y
75,8/13/2014,dxyla_OJKgA,Make Your Own Butterr - Easy!,https://www.youtube.com/watch?v=dxyla_OJKgA
74,8/8/2014,kssQlomJB58,Big Booms Using Sodium Metal!,https://www.youtube.com/watch?v=kssQlomJB58
73,8/7/2013,YmLo28pQrKI,My Hands Are On Fire!!,https://www.youtube.com/watch?v=YmLo28pQrKI
72,8/3/2013,vaho7JSVS1I,Handy DIY PVC Pump with Tons of Uses!,https://www.youtube.com/watch?v=vaho7JSVS1I
71,7/25/3013,CL78eVVW9_M,10 LifeHacks You Need To Know For Summer!,https://www.youtube.com/watch?v=CL78eVVW9_M
70,7/18/2013,DG6own141z0,The Cheapest Valve for Your Super Soaker or Pump!,https://www.youtube.com/watch?v=DG6own141z0
69,7/13/2013,-Ivg6Ut4tqk,Dry Ice In Reverse!,https://www.youtube.com/watch?v=-Ivg6Ut4tqk
68,7/11/0203,dyL-JvCGrBg,Watch Me Eat Dry Ice!,https://www.youtube.com/watch?v=dyL-JvCGrBg
